inning_key,player_name,price
1top,Shohei Ohtani,1000.0
1top,Trey Yesavage,100.0
1top,Mookie Betts,1616.0
1top,Freddie Freeman,1000.0
1top,George Springer,2920.8
1top,Blake Snell,3222.64
1top,Davis Schneider,100.0
1top,Vladimir Guerrero Jr.,1000.0
1top,Bo Bichette,1000.0
1top,Alejandro Kirk,100.0
1top,Daulton Varsho,1542.64
1top,Will Smith,100.0
1top,Teoscar Hernández,1000.0
1top,Max Muncy,1000.0
1top,Enrique Hernández,2382.64
1top,Tommy Edman,100.0
1top,Andy Pages,1000.0
1top,Ernie Clement,2369.2
1top,Myles Straw,1000.0
1top,Andrés Giménez,1107.8
1top,Mason Fluharty,1000.0
1top,Seranthony Domínguez,1000.0
1top,Emmet Sheehan,307.0
1top,Nathan Lukes,1246.4
1top,Addison Barger,1061.6
1top,Anthony Banda,938.4
1top,Isiah Kiner-Falefa,1000.0
1top,Braydon Fisher,2577.8
1top,Justin Wrobleski,100.0
1top,Chris Bassitt,2783.6
1top,Will Klein,100.0
1top,Eric Lauer,3332.4
1bottom,Shohei Ohtani,1000.0
1bottom,Trey Yesavage,100.0
1bottom,Mookie Betts,1616.0
1bottom,Freddie Freeman,1000.0
1bottom,George Springer,2920.8
1bottom,Blake Snell,3222.64
1bottom,Davis Schneider,100.0
1bottom,Vladimir Guerrero Jr.,1000.0
1bottom,Bo Bichette,1000.0
1bottom,Alejandro Kirk,100.0
1bottom,Daulton Varsho,1542.64
1bottom,Will Smith,100.0
1bottom,Teoscar Hernández,1000.0
1bottom,Max Muncy,1000.0
1bottom,Enrique Hernández,2382.64
1bottom,Tommy Edman,100.0
1bottom,Andy Pages,1000.0
1bottom,Ernie Clement,2369.2
1bottom,Myles Straw,1000.0
1bottom,Andrés Giménez,1107.8
1bottom,Mason Fluharty,1000.0
1bottom,Seranthony Domínguez,1000.0
1bottom,Emmet Sheehan,307.0
1bottom,Nathan Lukes,1246.4
1bottom,Addison Barger,1061.6
1bottom,Anthony Banda,938.4
1bottom,Isiah Kiner-Falefa,1000.0
1bottom,Braydon Fisher,2577.8
1bottom,Justin Wrobleski,100.0
1bottom,Chris Bassitt,2783.6
1bottom,Will Klein,100.0
1bottom,Eric Lauer,3332.4
2top,Shohei Ohtani,1000.0
2top,Trey Yesavage,100.0
2top,Mookie Betts,1616.0
2top,Freddie Freeman,1000.0
2top,George Springer,2920.8
2top,Blake Snell,3222.64
2top,Davis Schneider,100.0
2top,Vladimir Guerrero Jr.,1000.0
2top,Bo Bichette,1000.0
2top,Alejandro Kirk,100.0
2top,Daulton Varsho,1542.64
2top,Will Smith,100.0
2top,Teoscar Hernández,1000.0
2top,Max Muncy,1000.0
2top,Enrique Hernández,2382.64
2top,Tommy Edman,100.0
2top,Andy Pages,1000.0
2top,Ernie Clement,2369.2
2top,Myles Straw,1000.0
2top,Andrés Giménez,1107.8
2top,Mason Fluharty,1000.0
2top,Seranthony Domínguez,1000.0
2top,Emmet Sheehan,307.0
2top,Nathan Lukes,1246.4
2top,Addison Barger,1061.6
2top,Anthony Banda,938.4
2top,Isiah Kiner-Falefa,1000.0
2top,Braydon Fisher,2577.8
2top,Justin Wrobleski,100.0
2top,Chris Bassitt,2783.6
2top,Will Klein,100.0
2top,Eric Lauer,3332.4
2bottom,Shohei Ohtani,1000.0
2bottom,Trey Yesavage,100.0
2bottom,Mookie Betts,1616.0
2bottom,Freddie Freeman,1000.0
2bottom,George Springer,2920.8
2bottom,Blake Snell,3222.64
2bottom,Davis Schneider,100.0
2bottom,Vladimir Guerrero Jr.,1000.0
2bottom,Bo Bichette,1000.0
2bottom,Alejandro Kirk,100.0
2bottom,Daulton Varsho,1542.64
2bottom,Will Smith,100.0
2bottom,Teoscar Hernández,1000.0
2bottom,Max Muncy,1000.0
2bottom,Enrique Hernández,2382.64
2bottom,Tommy Edman,100.0
2bottom,Andy Pages,1000.0
2bottom,Ernie Clement,2369.2
2bottom,Myles Straw,1000.0
2bottom,Andrés Giménez,1107.8
2bottom,Mason Fluharty,1000.0
2bottom,Seranthony Domínguez,1000.0
2bottom,Emmet Sheehan,307.0
2bottom,Nathan Lukes,1246.4
2bottom,Addison Barger,1061.6
2bottom,Anthony Banda,938.4
2bottom,Isiah Kiner-Falefa,1000.0
2bottom,Braydon Fisher,2577.8
2bottom,Justin Wrobleski,100.0
2bottom,Chris Bassitt,2783.6
2bottom,Will Klein,100.0
2bottom,Eric Lauer,3332.4
3top,Shohei Ohtani,1000.0
3top,Trey Yesavage,100.0
3top,Mookie Betts,1616.0
3top,Freddie Freeman,1000.0
3top,George Springer,2920.8
3top,Blake Snell,3222.64
3top,Davis Schneider,100.0
3top,Vladimir Guerrero Jr.,1000.0
3top,Bo Bichette,1000.0
3top,Alejandro Kirk,100.0
3top,Daulton Varsho,1542.64
3top,Will Smith,100.0
3top,Teoscar Hernández,1000.0
3top,Max Muncy,1000.0
3top,Enrique Hernández,2382.64
3top,Tommy Edman,100.0
3top,Andy Pages,1000.0
3top,Ernie Clement,2369.2
3top,Myles Straw,1000.0
3top,Andrés Giménez,1107.8
3top,Mason Fluharty,1000.0
3top,Seranthony Domínguez,1000.0
3top,Emmet Sheehan,307.0
3top,Nathan Lukes,1246.4
3top,Addison Barger,1061.6
