inning_key,user_id,cash,portfolio_value,total_value,roi_pct,strategy
1top,0,10000.0,10000.0,10000.0,0.0,RandomStrategy
1top,1,4222.1,10000.0,10000.0,0.0,RandomStrategy
1top,2,3306.200000000001,10000.0,10000.0,0.0,RandomStrategy
1top,3,6653.1,10000.0,10000.0,0.0,RandomStrategy
1top,4,4222.1,10000.0,10000.0,0.0,RandomStrategy
1top,5,7569.0,10000.0,10000.0,0.0,RandomStrategy
1top,6,276.0,10000.0,10000.0,0.0,RandomStrategy
1top,7,875.2000000000012,10000.0,10000.0,0.0,RandomStrategy
1top,8,1791.1000000000004,10000.0,10000.0,0.0,RandomStrategy
1top,9,5138.0,10000.0,10000.0,0.0,RandomStrategy
1top,10,2707.0,10000.0,10000.0,0.0,RandomStrategy
1top,11,1791.1000000000004,10000.0,10000.0,0.0,RandomStrategy
1top,12,4222.1,10000.0,10000.0,0.0,RandomStrategy
1top,13,5138.0,10000.0,10000.0,0.0,RandomStrategy
1top,14,10000.0,10000.0,10000.0,0.0,RandomStrategy
1top,15,6653.1,10000.0,10000.0,0.0,RandomStrategy
1top,16,6653.1,10000.0,10000.0,0.0,RandomStrategy
1top,17,5138.0,10000.0,10000.0,0.0,RandomStrategy
1top,18,2707.0,10000.0,10000.0,0.0,RandomStrategy
1top,19,4222.1,10000.0,10000.0,0.0,RandomStrategy
1top,20,6653.1,10000.0,10000.0,0.0,RandomStrategy
1top,21,10000.0,10000.0,10000.0,0.0,RandomStrategy
1top,22,1791.1000000000004,10000.0,10000.0,0.0,RandomStrategy
1top,23,7569.0,10000.0,10000.0,0.0,RandomStrategy
1top,24,4222.1,10000.0,10000.0,0.0,RandomStrategy
1top,25,1791.1000000000008,10000.0,10000.0,0.0,RandomStrategy
1top,26,2707.0,10000.0,10000.0,0.0,RandomStrategy
1top,27,2707.0,10000.0,10000.0,0.0,RandomStrategy
1top,28,1791.1000000000004,10000.0,10000.0,0.0,RandomStrategy
1top,29,6653.1,10000.0,10000.0,0.0,RandomStrategy
1top,30,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,31,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,32,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,33,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,34,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,35,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,36,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,37,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,38,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,39,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,40,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,41,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,42,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,43,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,44,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,45,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,46,10000.0,10000.0,10000.0,0.0,MomentumStrategy
1top,47,10000.0,10000.0,10000.0,0.0,MomentumStrategy
