Date,Opponent,Hits,HR,RBI,Price
2024-03-20,San Diego Padres,2,0,1,53170.0
2024-03-21,San Diego Padres,1,0,1,51747.0
2024-03-28,St. Louis Cardinals,2,0,0,49644.0
2024-03-29,St. Louis Cardinals,0,0,0,46620.0
2024-03-30,St. Louis Cardinals,1,0,0,48208.0
2024-03-31,St. Louis Cardinals,1,0,0,48285.0
2024-04-01,San Francisco Giants,1,0,1,52159.0
2024-04-02,San Francisco Giants,0,0,0,46842.0
2024-04-03,San Francisco Giants,2,1,1,66306.0
2024-04-05,Chicago Cubs,2,1,2,71482.0
2024-04-06,Chicago Cubs,2,0,0,51929.0
2024-04-07,Chicago Cubs,2,0,1,56053.0
2024-04-08,Minnesota Twins,3,1,1,70905.0
2024-04-09,Minnesota Twins,1,0,0,51570.0
2024-04-10,Minnesota Twins,1,0,0,51646.0
2024-04-12,San Diego Padres,3,1,1,72483.0
2024-04-13,San Diego Padres,0,0,1,55120.0
2024-04-14,San Diego Padres,1,0,0,52716.0
2024-04-15,Washington Nationals,1,0,0,52792.0
2024-04-16,Washington Nationals,2,0,0,54608.0
2024-04-17,Washington Nationals,3,0,0,56515.0
2024-04-19,New York Mets,1,0,1,57433.0
2024-04-20,New York Mets,1,0,0,53327.0
2024-04-21,New York Mets,2,1,2,77248.0
2024-04-23,Washington Nationals,1,1,1,72388.0
2024-04-24,Washington Nationals,3,0,2,67477.0
2024-04-25,Washington Nationals,0,0,0,53576.0
2024-04-26,Toronto Blue Jays,1,1,1,73794.0
2024-04-27,Toronto Blue Jays,1,0,1,60646.0
2024-04-28,Toronto Blue Jays,0,0,0,54464.0
2024-04-29,Arizona Diamondbacks,2,0,1,62582.0
2024-04-30,Arizona Diamondbacks,1,0,0,56460.0
2024-05-03,Atlanta Braves,1,0,1,60976.0
2024-05-04,Atlanta Braves,3,1,2,83734.0
2024-05-05,Atlanta Braves,4,2,3,106915.0
2024-05-06,Miami Marlins,2,1,2,85843.0
2024-05-07,Miami Marlins,0,0,0,58386.0
2024-05-08,Miami Marlins,0,0,0,58386.0
2024-05-10,San Diego Padres,2,0,0,62331.0
2024-05-11,San Diego Padres,0,0,0,58534.0
2024-05-13,San Francisco Giants,2,0,1,67246.0
2024-05-14,San Francisco Giants,3,1,2,89627.0
2024-05-15,San Francisco Giants,2,0,0,63670.0
2024-05-16,Cincinnati Reds,0,0,0,59792.0
2024-05-17,Cincinnati Reds,1,1,2,87142.0
2024-05-18,Cincinnati Reds,0,0,0,60606.0
2024-05-19,Cincinnati Reds,2,0,1,69621.0
2024-05-20,Arizona Diamondbacks,0,0,0,60754.0
2024-05-21,Arizona Diamondbacks,2,0,1,69790.0
2024-05-22,Arizona Diamondbacks,1,0,0,62954.0
2024-05-24,Cincinnati Reds,0,0,1,65920.0
2024-05-25,Cincinnati Reds,1,0,0,63030.0
2024-05-26,Cincinnati Reds,1,0,0,63106.0
2024-05-28,New York Mets,0,0,0,61124.0
2024-05-29,New York Mets,2,1,3,96202.0
2024-05-31,Colorado Rockies,0,0,0,62012.0
2024-06-01,Colorado Rockies,1,0,0,64100.0
2024-06-02,Colorado Rockies,0,0,0,62086.0
2024-06-04,Pittsburgh Pirates,1,0,0,64176.0
2024-06-05,Pittsburgh Pirates,2,1,2,92698.0
2024-06-06,Pittsburgh Pirates,1,0,0,65169.0
2024-06-07,New York Yankees,0,0,0,63122.0
2024-06-08,New York Yankees,1,0,1,70370.0
2024-06-09,New York Yankees,1,0,0,65322.0
2024-06-11,Texas Rangers,1,1,2,92142.0
2024-06-12,Texas Rangers,1,1,1,88051.0
2024-06-13,Texas Rangers,0,0,0,64898.0
2024-06-14,Kansas City Royals,2,0,0,69265.0
2024-06-15,Kansas City Royals,0,0,0,65046.0
2024-06-16,Kansas City Royals,2,2,2,114247.0
2024-06-17,Colorado Rockies,3,0,1,78829.0
2024-06-18,Colorado Rockies,2,1,2,99661.0
